Age,Income,LoanAmount,Tenure,InterestRate,NumDependents,CreditScore,PreviousDefaults,EmploymentType,Region,Default
59,26302,680585,72,18.2,1,725,2,Self-employed,Semiurban,1
49,82506,710902,12,12.44,2,378,0,Salaried,Rural,0
35,56157,272084,72,9.25,2,481,0,Salaried,Rural,0
63,69917,539536,12,9.48,2,798,2,Self-employed,Semiurban,0
28,111646,110428,72,8.58,4,370,0,Self-employed,Semiurban,0
41,98122,728100,36,16.34,4,547,0,Salaried,Urban,1
59,39519,371497,48,8.84,4,445,0,Salaried,Urban,0
39,95910,687420,48,8.88,0,595,2,Self-employed,Urban,1
43,135430,237604,12,16.86,1,881,1,Salaried,Urban,1
31,86324,590340,24,11.29,3,769,1,Self-employed,Rural,0
31,20408,150689,60,7.84,0,805,0,Salaried,Rural,0
44,74379,752436,60,8.07,1,492,0,Self-employed,Urban,0
56,40053,496636,12,9.06,1,367,1,Self-employed,Urban,1
60,146994,706031,72,9.85,2,793,1,Self-employed,Semiurban,0
44,113723,312307,24,14.82,2,351,0,Salaried,Rural,0
23,66356,353568,36,9.23,0,662,0,Salaried,Rural,0
42,25789,552754,72,8.81,2,773,1,Salaried,Urban,0
22,112720,513547,72,15.91,1,820,2,Salaried,Rural,0
44,81656,453850,12,14.88,2,730,0,Self-employed,Semiurban,0
64,59028,185870,12,12.29,4,597,0,Self-employed,Semiurban,0
50,79484,334564,60,13.54,2,734,0,Self-employed,Rural,0
58,47154,560259,12,10.93,1,497,2,Salaried,Urban,1
22,17336,694863,12,12.81,0,427,0,Salaried,Rural,0
41,118677,832518,12,13.07,3,831,2,Salaried,Semiurban,0
53,82779,341444,60,11.76,2,710,1,Self-employed,Urban,0
32,34029,926313,36,17.47,1,364,0,Salaried,Rural,1
42,74201,60749,36,7.68,3,540,3,Salaried,Urban,1
64,47265,678419,12,16.1,3,668,1,Self-employed,Urban,0
45,117916,730481,60,8.87,4,835,0,Self-employed,Semiurban,0
47,61197,964995,36,16.27,3,683,1,Salaried,Urban,0
62,140733,349631,72,14.28,1,730,1,Self-employed,Rural,0
48,86907,275019,36,16.78,1,382,0,Salaried,Urban,1
36,143876,476577,36,8.57,2,873,0,Self-employed,Urban,0
35,79435,857655,60,13.65,2,585,0,Self-employed,Rural,0
64,55631,647218,72,13.01,2,833,0,Self-employed,Semiurban,0
23,144038,719416,60,15.27,3,758,1,Salaried,Semiurban,0
57,35103,340524,12,13.38,3,511,0,Salaried,Rural,0
27,79772,862467,48,13.45,4,425,0,Salaried,Rural,0
41,141108,867052,36,12.23,2,712,1,Self-employed,Semiurban,0
29,29382,987381,48,10.9,0,798,0,Self-employed,Urban,0
59,99291,306553,60,12.8,4,724,0,Self-employed,Rural,0
38,116195,498532,60,8.8,0,853,1,Self-employed,Urban,0
24,149828,769401,60,18.08,3,842,0,Salaried,Rural,0
